X,Y,OBJECTID,LATITUDE,LONGITUDE,Count_,Name,HAB_ID,Location,SAMPLE_DATE,SAMPLE_DEPTH,PROOF_DATE
-82.468826645537632,27.113814982942063,17351,27.11382,-82.46883,23000,Karenia brevis,HABW160216-017,North Jetty,2016-02-15T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.46088664874371,27.100334986960547,17352,27.10034,-82.46089,8000,Karenia brevis,HABW160216-018,Venice Beach,2016-02-15T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.452856651538085,27.078264990834917,17353,27.07827,-82.45286,9000,Karenia brevis,HABW160216-019,Service Club Park,2016-02-15T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.450896652453977,27.073494992455469,17354,27.0735,-82.4509,11000,Karenia brevis,HABW160216-020,Venice Fishing Pier,2016-02-15T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.447996652663278,27.066304994823842,17355,27.06631,-82.448,11000,Karenia brevis,HABW160216-021,Brohard Beach,2016-02-15T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.443596654994309,27.057024997142754,17356,27.05703,-82.4436,2000,Karenia brevis,HABW160216-022,Caspersen Beach,2016-02-15T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.413116664690548,27.010305007360778,17357,27.01031,-82.41312,11000,Karenia brevis,HABW160216-023,Manasota Beach,2016-02-15T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.385646674680643,26.963235017623294,17358,26.96324,-82.38565,2000,Karenia brevis,HABW160216-024,Blind Pass Beach,2016-02-15T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-80.59674015003786,28.386476626399912,17359,28.386482,-80.596743,0,Karenia brevis,HABW160217-042,Cape Canaveral Beach,2016-02-15T00:00:00.000Z,1,2016-04-21T00:00:00.000Z
-80.601827149591685,28.367114631831871,17360,28.36712,-80.60183,0,Karenia brevis,HABW160217-044,"Cocoa Beach Pier; S of",2016-02-15T00:00:00.000Z,1,2016-04-21T00:00:00.000Z
-82.577896607262005,27.331594932353802,17361,27.3316,-82.5779,238000,Karenia brevis,HABW160216-025,Bay Dock (Sarasota Bay),2016-02-16T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.579376606845415,27.33374493184111,17362,27.33375,-82.57938,30000,Karenia brevis,HABW160216-026,New Pass Dock (Sarasota Bay),2016-02-16T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-86.175939471505885,30.403744312762477,17363,30.40375,-86.175944,0,Karenia brevis,HABW160217-003,"Clyde B. Wells Bridge; W of (Choctawhatchee Bay)",2016-02-16T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-86.525578373216987,30.393077326847457,17364,30.393083,-86.525583,0,Karenia brevis,HABW160217-004,"USCG Station; N of (Choctawhatchee Bay)",2016-02-16T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-86.420439402344982,30.407077320882472,17365,30.407083,-86.420444,0,Karenia brevis,HABW160217-005,"Mid-Bay Bridge; E of (Choctawhatchee Bay)",2016-02-16T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.258296718271581,26.711695077488962,17366,26.7117,-82.2583,0,Karenia brevis,HABW160217-006,Boca Grande Pass,2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.219596729893098,26.679795084024615,17367,26.6798,-82.2196,0,Karenia brevis,HABW160217-007,"Mondongo Island; W of (Pine Island Sound)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.220996732703824,26.60919510097855,17368,26.6092,-82.221,0,Karenia brevis,HABW160217-008,Captiva Pass,2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.196296740991613,26.55349511401074,17369,26.5535,-82.1963,0,Karenia brevis,HABW160217-009,Redfish Pass (Pine Island Sound),2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.170813748033396,26.560412112362535,17370,26.560417,-82.170817,0,Karenia brevis,HABW160217-010,"Redfish Pass; 1.8 mi E of (Pine Island Sound)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.156666751952315,26.532112119542099,17371,26.532117,-82.15667,0,Karenia brevis,HABW160217-011,"Buck Key; 1.9 mi NE of (Pine Island Sound)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.18149674695411,26.487995130860732,17372,26.488,-82.1815,0,Karenia brevis,HABW160217-012,"Buck Key; S of (Blind Pass)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.107296768665151,26.488695128599787,17373,26.4887,-82.1073,0,Karenia brevis,HABW160217-013,"York Island; W of (Pine Island Sound)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.12569676120377,26.537995116930116,17374,26.538,-82.1257,0,Karenia brevis,HABW160217-014,"Regla Island; W of (Pine Island Sound)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.134696758354849,26.576695107255301,17375,26.5767,-82.1347,0,Karenia brevis,HABW160217-015,"Cork Island; W of (Pine Island Sound)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.156096751141604,26.590195104928874,17376,26.5902,-82.1561,667,Karenia brevis,HABW160217-016,"Hemp Key; S of (Pine Island Sound)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.184626743305301,26.599245103559856,17377,26.59925,-82.18463,0,Karenia brevis,HABW160217-017,"Captiva Rocks; SW of (Pine Island Sound)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-82.183696739949539,26.704995076587259,17378,26.705,-82.1837,0,Karenia brevis,HABW160217-018,"Little Bokeelia Island; N of (Charlotte Harbor)",2016-02-16T00:00:00.000Z,0.5,2016-04-22T00:00:00.000Z
-81.727796892237819,25.973295248306197,17379,25.9733,-81.7278,2000,Karenia brevis,HABW160217-020,Snook Inn  (Big Marco Pass),2016-02-16T00:00:00.000Z,0.5,2016-03-31T00:00:00.000Z
-81.649596915414662,25.933395256884157,17380,25.9334,-81.6496,415167,Karenia brevis,HABW160217-021,Goodland Bridge,2016-02-16T00:00:00.000Z,0.5,2016-03-31T00:00:00.000Z
-81.702896899610764,25.980395246874931,17381,25.9804,-81.7029,15667,Karenia brevis,HABW160217-023,951 Boat Ramp (Big Marco Pass),2016-02-16T00:00:00.000Z,0.5,2016-03-31T00:00:00.000Z
-81.717096897191936,25.912395263825239,17382,25.9124,-81.7171,17000,Karenia brevis,HABW160217-024,Caxambas Park,2016-02-16T00:00:00.000Z,0.5,2016-03-31T00:00:00.000Z
-80.616722138673879,28.583497580012466,17383,28.583503,-80.616725,0,Karenia brevis,HABW160217-029,Pepper Flats (Merritt Island),2016-02-16T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-80.583456151077172,28.500068598721349,17384,28.500074,-80.583459,0,Karenia brevis,HABW160217-032,"Cape Canaveral Air Force Station; N of (Banana River)",2016-02-16T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-87.141895202472057,30.32729436033987,17385,30.3273,-87.1419,0,Karenia brevis,HABW160217-035,Pensacola Beach Pier,2016-02-16T00:00:00.000Z,0.5,2016-04-21T00:00:00.000Z
-82.074196773563258,26.624995093570305,17386,26.625,-82.0742,0,Karenia brevis,HABW160218-049,"Porpoise Point Island; SW of (Matlacha Pass)",2016-02-16T00:00:00.000Z,1.4,2016-03-30T00:00:00.000Z
-82.094596767165626,26.667795083460902,17387,26.6678,-82.0946,0,Karenia brevis,HABW160218-050,Ben Coleman Keys (Matlacha Pass),2016-02-16T00:00:00.000Z,1,2016-03-30T00:00:00.000Z
-82.070396776842259,26.562695109416381,17388,26.5627,-82.0704,0,Karenia brevis,HABW160218-051,"Deer Stop Keys; SW of (Matlacha Pass)",2016-02-16T00:00:00.000Z,1.5,2016-03-30T00:00:00.000Z
-83.11019639661373,29.081314526615458,17389,29.08132,-83.1102,0,Karenia brevis,HABW160218-052,"Seahorse Key; 2.5 mi SW of",2016-02-16T00:00:00.000Z,0.5,2016-08-12T00:00:00.000Z
-83.180866378518417,29.023124542679916,17390,29.02313,-83.18087,0,Karenia brevis,HABW160218-053,"Seahorse Key; 8.4 mi SW of",2016-02-16T00:00:00.000Z,0.5,2016-08-17T00:00:00.000Z
-85.304415741845943,29.798624423947249,17391,29.79863,-85.30442,0,Karenia brevis,HABW160219-009,Oak Grove (St. Joseph Bay),2016-02-16T00:00:00.000Z,0.5,2018-04-27T00:00:00.000Z
-85.323075740065448,29.718364442024498,17392,29.71837,-85.32308,0,Karenia brevis,HABW160219-010,"Blacks Island; SE of (St. Joseph Bay)",2016-02-16T00:00:00.000Z,0.5,2018-04-27T00:00:00.000Z
-85.358815730175436,29.704024446577897,17393,29.70403,-85.35882,0,Karenia brevis,HABW160219-011,"Pig Island; 0.7 mi E of (St. Joseph Bay)",2016-02-16T00:00:00.000Z,0.5,2018-04-27T00:00:00.000Z
-85.384635721620938,29.758824435625868,17394,29.75883,-85.38464,0,Karenia brevis,HABW160219-012,"St. Joseph Peninsula State Park; NE of (St. Joseph Bay)",2016-02-16T00:00:00.000Z,0.5,2018-04-27T00:00:00.000Z
-85.397995712664766,29.848664414940441,17395,29.84867,-85.398,0,Karenia brevis,HABW160219-013,"St. Joseph Point; 2.1 mi S of (St. Joseph Bay)",2016-02-16T00:00:00.000Z,0.5,2018-04-27T00:00:00.000Z
-85.346995730904652,29.784794428402616,17396,29.7848,-85.347,0,Karenia brevis,HABW160219-014,Mid-St. Joseph Bay,2016-02-16T00:00:00.000Z,0.5,2018-05-03T00:00:00.000Z
-82.682406556212513,28.013873770288903,17397,28.013879,-82.68241,0,Karenia brevis,HABW160217-045,Philippe Park Boat Ramp,2016-02-17T00:00:00.000Z,0.5,2016-03-31T00:00:00.000Z
-82.685953555908483,27.988826775592205,17398,27.988832,-82.685957,0,Karenia brevis,HABW160217-046,Safety Harbor Municipal Pier,2016-02-17T00:00:00.000Z,0.5,2016-03-31T00:00:00.000Z
-82.63126357882885,27.759797829666418,17399,27.759803,-82.631267,11000,Karenia brevis,HABW160217-057,"FWRI Peninsula; SE tip of (Bayboro Harbor)",2016-02-17T00:00:00.000Z,0.2,2016-03-31T00:00:00.000Z
-82.63126357882885,27.759797829666418,17400,27.759803,-82.631267,4667,Karenia brevis,HABW160217-059,"FWRI Peninsula; SE tip of (Bayboro Harbor)",2016-02-17T00:00:00.000Z,4.5,2016-03-31T00:00:00.000Z
-82.551996599280898,27.847324807288008,17401,27.84733,-82.552,0,Karenia brevis,HABW160217-060,"Picnic Island Park; SE end of (Old Tampa Bay)",2016-02-17T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
-82.604496584309146,27.828174812833311,17402,27.82818,-82.6045,1000,Karenia brevis,HABW160217-061,"Googe Island; W of (Bayou Grande)",2016-02-17T00:00:00.000Z,0.5,2016-04-14T00:00:00.000Z
